ts,processCpuLoad,systemCpuLoad,freePhysicalMb,totalPhysicalMb,freeSwapMb,totalSwapMb
1771820403195,0.010128,0.070716,36776,65207,83554,116407
1771820403336,0.005404,0.027802,36755,65207,83544,116407
1771820403482,0.005404,0.027802,36752,65207,83536,116407
1771820403621,0.005404,0.027802,36747,65207,83526,116407
1771820403759,0.005404,0.027802,36698,65207,83397,116407
1771820403943,0.011679,0.026183,36719,65207,83498,116407
1771820404085,0.011679,0.026183,36731,65207,83506,116407
1771820404220,0.011679,0.026183,36728,65207,83506,116407
1771820404355,0.011679,0.026183,36727,65207,83511,116407
1771820404488,0.004306,0.030698,36728,65207,83512,116407
1771820404630,0.004306,0.030698,36736,65207,83511,116407
1771820404766,0.004306,0.030698,36739,65207,83510,116407
1771820404933,0.004306,0.030698,36746,65207,83514,116407
1771820405067,0.009358,0.021262,36720,65207,83502,116407
1771820405214,0.009358,0.021262,36624,65207,83403,116407
1771820405348,0.009358,0.021262,36697,65207,83481,116407
1771820405484,0.009358,0.021262,36700,65207,83482,116407
1771820405623,0.004259,0.054727,36701,65207,83479,116407
1771820405767,0.004259,0.054727,36711,65207,83481,116407
1771820405940,0.004259,0.054727,36704,65207,83480,116407
1771820406078,0.004259,0.054727,36736,65207,83522,116407
1771820406212,0.007964,0.028117,36740,65207,83531,116407
1771820406352,0.007964,0.028117,36756,65207,83548,116407
1771820406487,0.007964,0.028117,36755,65207,83549,116407
1771820406620,0.007964,0.028117,36762,65207,83555,116407
1771820406754,0.001389,0.013214,36776,65207,83553,116407
1771820406913,0.001389,0.013214,36780,65207,83561,116407
1771820407051,0.001389,0.013214,36783,65207,83558,116407
1771820407185,0.001389,0.013214,36786,65207,83579,116407
1771820407326,0.001412,0.020815,36767,65207,83540,116407
1771820407467,0.001412,0.020815,36803,65207,83560,116407
1771820407602,0.001412,0.020815,36801,65207,83562,116407
1771820407739,0.001412,0.020815,36801,65207,83557,116407
1771820407888,0.009607,0.005213,36705,65207,83437,116407
1771820408057,0.009607,0.005213,36656,65207,83413,116407
1771820408200,0.009607,0.005213,36608,65207,83372,116407
1771820408338,0.009607,0.005213,36608,65207,83332,116407
1771820408483,0.006610,0.096646,36607,65207,83322,116407
1771820408629,0.006610,0.096646,36607,65207,83319,116407
1771820408771,0.006610,0.096646,36507,65207,83128,116407
1771820408946,0.006610,0.096646,36588,65207,83305,116407
1771820409093,0.017727,0.062462,36581,65207,83327,116407
1771820409246,0.017727,0.062462,36633,65207,83384,116407
1771820409395,0.017727,0.062462,36666,65207,83424,116407
1771820409542,0.017727,0.062462,36664,65207,83422,116407
1771820409692,0.017204,0.133590,36664,65207,83422,116407
1771820409839,0.017204,0.133590,36671,65207,83427,116407
1771820409981,0.017204,0.133590,36675,65207,83419,116407
1771820410122,0.017204,0.133590,36685,65207,83425,116407
1771820410257,0.006922,0.040724,36684,65207,83421,116407
1771820410403,0.006922,0.040724,36689,65207,83440,116407
1771820410544,0.006922,0.040724,36695,65207,83440,116407
1771820410686,0.006922,0.040724,36699,65207,83439,116407
1771820410827,0.013487,0.037531,36732,65207,83528,116407
1771820410976,0.013487,0.037531,36728,65207,83499,116407
1771820411116,0.013487,0.037531,36713,65207,83478,116407
1771820411253,0.013487,0.037531,36711,65207,83476,116407
1771820411398,0.012615,0.052355,36705,65207,83462,116407
1771820411544,0.012615,0.052355,36698,65207,83464,116407
1771820411688,0.012615,0.052355,36699,65207,83464,116407
1771820411823,0.012615,0.052355,36701,65207,83464,116407
1771820411967,0.000000,0.008176,36710,65207,83461,116407
1771820412114,0.000000,0.008176,36714,65207,83461,116407
1771820412250,0.000000,0.008176,36734,65207,83522,116407
1771820412393,0.000000,0.008176,36668,65207,83426,116407
1771820412529,0.017920,0.032827,36738,65207,83521,116407
1771820412681,0.017920,0.032827,36731,65207,83473,116407
1771820412828,0.017920,0.032827,36716,65207,83420,116407
1771820412977,0.017920,0.032827,36697,65207,83391,116407
1771820413122,0.010431,0.052784,36682,65207,83393,116407
1771820413282,0.010431,0.052784,36596,65207,83307,116407
1771820413433,0.010431,0.052784,36590,65207,83306,116407
1771820413583,0.010431,0.052784,36583,65207,83288,116407
1771820413734,0.025635,0.094837,36554,65207,83254,116407
1771820413919,0.025635,0.094837,36505,65207,83080,116407
1771820414081,0.025635,0.094837,36526,65207,83166,116407
1771820414232,0.025635,0.138593,36574,65207,83214,116407
1771820414373,0.010369,0.138593,36568,65207,83210,116407
1771820414521,0.010369,0.138593,36553,65207,83196,116407
1771820414661,0.010369,0.138593,36548,65207,83187,116407
1771820414801,0.010369,0.072652,36572,65207,83203,116407
1771820414946,0.015109,0.072652,36567,65207,83199,116407
1771820415086,0.015109,0.072652,36580,65207,83248,116407
1771820415225,0.015109,0.072652,36629,65207,83299,116407
1771820415369,0.015109,0.070979,36617,65207,83295,116407
1771820415515,0.006825,0.070979,36611,65207,83290,116407
1771820415660,0.006825,0.070979,36636,65207,83313,116407
1771820415803,0.006825,0.070979,36617,65207,83311,116407
1771820415956,0.006825,0.052065,36661,65207,83378,116407
1771820416105,0.023587,0.052065,36655,65207,83372,116407
1771820416258,0.023587,0.052065,36670,65207,83379,116407
1771820416418,0.023587,0.052065,36639,65207,83124,116407
1771820416581,0.023587,0.212150,36624,65207,82949,116407
1771820416737,0.021578,0.212150,36609,65207,82919,116407
1771820416910,0.021578,0.212150,36604,65207,82919,116407
1771820417059,0.021578,0.212150,36570,65207,82858,116407
1771820417200,0.021578,0.038696,36541,65207,82856,116407
1771820417347,0.004004,0.038696,36531,65207,82846,116407
1771820417501,0.004004,0.038696,36510,65207,82824,116407
1771820417647,0.004004,0.038696,36499,65207,82766,116407
1771820417787,0.004004,0.081523,36484,65207,82761,116407
1771820417968,0.007547,0.081523,36483,65207,82754,116407
1771820418116,0.007547,0.081523,36514,65207,82793,116407
1771820418255,0.007547,0.055345,36499,65207,82784,116407
1771820418395,0.007547,0.055345,36492,65207,82779,116407
1771820418532,0.006972,0.055345,36493,65207,82779,116407
1771820418674,0.006972,0.055345,36495,65207,82778,116407
1771820418816,0.006972,0.027514,36479,65207,82712,116407
1771820418965,0.006972,0.027514,36550,65207,82866,116407
1771820419107,0.013486,0.027514,36592,65207,82918,116407
1771820419257,0.013486,0.027514,36650,65207,82947,116407
1771820419398,0.013486,0.069534,36637,65207,82944,116407
1771820419545,0.013486,0.069534,36687,65207,82987,116407
1771820419697,0.015931,0.069534,36684,65207,82994,116407
1771820419843,0.015931,0.069534,36686,65207,82992,116407
1771820419986,0.015931,0.023208,36685,65207,82992,116407
1771820420124,0.015931,0.023208,36690,65207,83006,116407
1771820420262,0.002773,0.023208,36690,65207,82996,116407
1771820420407,0.002773,0.023208,36677,65207,82997,116407
1771820420541,0.002773,0.030004,36683,65207,82992,116407
1771820420676,0.002773,0.030004,36678,65207,82991,116407
1771820420816,0.004633,0.030004,36669,65207,82990,116407
1771820420956,0.004633,0.030004,36670,65207,82989,116407
1771820421092,0.004633,0.002084,36676,65207,82989,116407
1771820421230,0.004633,0.002084,36657,65207,82979,116407
1771820421368,0.011722,0.002084,36651,65207,82976,116407
1771820421511,0.011722,0.002084,36649,65207,82974,116407
1771820421645,0.011722,0.033002,36652,65207,82975,116407
1771820421785,0.011722,0.033002,36653,65207,82971,116407
1771820421940,0.005489,0.033002,36639,65207,82969,116407
1771820422082,0.005489,0.033002,36665,65207,82993,116407
1771820422218,0.005489,0.007923,36650,65207,82978,116407
1771820422357,0.005489,0.007923,36649,65207,82979,116407
1771820422495,0.009836,0.007923,36649,65207,82979,116407
1771820422638,0.009836,0.007923,36645,65207,82979,116407
1771820422774,0.009836,0.028146,36640,65207,82977,116407
1771820422938,0.009836,0.028146,36636,65207,82977,116407
1771820423074,0.002703,0.028146,36637,65207,82977,116407
1771820423215,0.002703,0.028146,36622,65207,82896,116407
1771820423354,0.002703,0.029631,36686,65207,83060,116407
1771820423501,0.002703,0.029631,36686,65207,83039,116407
1771820423640,0.016376,0.029631,36673,65207,83012,116407
1771820423789,0.016376,0.029631,36642,65207,82899,116407
1771820423946,0.016376,0.021512,36654,65207,82990,116407
1771820424087,0.016376,0.021512,36554,65207,82896,116407
1771820424231,0.026206,0.021512,36560,65207,82904,116407
1771820424387,0.026206,0.021512,36536,65207,82878,116407
1771820424535,0.026206,0.134092,36507,65207,82786,116407
1771820424684,0.026206,0.134092,36498,65207,82771,116407
1771820424840,0.033915,0.134092,36492,65207,82764,116407
1771820425001,0.033915,0.134092,36488,65207,82757,116407
1771820425146,0.033915,0.093467,36484,65207,82753,116407
1771820425293,0.024856,0.093467,36468,65207,82740,116407
1771820425453,0.024856,0.093467,36462,65207,82732,116407
1771820425602,0.024856,0.093467,36502,65207,82768,116407
1771820425750,0.024856,0.061201,36519,65207,82826,116407
1771820425916,0.018612,0.061201,36596,65207,82905,116407
1771820426068,0.018612,0.061201,36587,65207,82897,116407
1771820426221,0.018612,0.129806,36563,65207,81767,116407
1771820426382,0.033390,0.129806,36544,65207,81754,116407
1771820426538,0.033390,0.129806,36539,65207,81744,116407
1771820426681,0.033390,0.129806,36528,65207,81742,116407
1771820426840,0.033390,0.088296,36502,65207,81708,116407
1771820427006,0.012564,0.088296,36551,65207,82865,116407
1771820427158,0.012564,0.088296,36578,65207,82923,116407
1771820427302,0.012564,0.088296,36578,65207,82931,116407
1771820427442,0.012564,0.051526,36576,65207,82938,116407
1771820427590,0.006702,0.051526,36573,65207,82936,116407
1771820427744,0.006702,0.051526,36575,65207,82935,116407
1771820427965,0.006702,0.115128,36567,65207,82922,116407
1771820428126,0.085075,0.115128,36577,65207,82930,116407
1771820428275,0.085075,0.115128,36581,65207,82932,116407
1771820428422,0.085075,0.115128,36570,65207,82933,116407
1771820428566,0.085075,0.052470,36570,65207,82933,116407
1771820428711,0.018202,0.052470,36574,65207,82934,116407
1771820428877,0.018202,0.052470,36581,65207,82874,116407
1771820429034,0.018202,0.052470,36626,65207,83000,116407
1771820429180,0.018202,0.036743,36612,65207,82990,116407
1771820429340,0.024087,0.036743,36610,65207,82991,116407
1771820429492,0.024087,0.036743,36618,65207,82999,116407
1771820429634,0.024087,0.036743,36622,65207,83002,116407
1771820429777,0.024087,0.064476,36621,65207,82995,116407
1771820429957,0.012693,0.064476,36625,65207,82998,116407
1771820430107,0.012693,0.064476,36630,65207,82997,116407
1771820430252,0.012693,0.052522,36662,65207,83037,116407
1771820430404,0.012693,0.052522,36647,65207,82948,116407
1771820430554,0.011805,0.052522,36670,65207,83045,116407
1771820430703,0.011805,0.052522,36673,65207,83051,116407
1771820430845,0.011805,0.082393,36671,65207,83051,116407
1771820430998,0.011805,0.082393,36669,65207,83052,116407
1771820431144,0.006576,0.082393,36668,65207,83045,116407
1771820431299,0.006576,0.082393,36657,65207,83043,116407
1771820431441,0.006576,0.068704,36656,65207,83046,116407
1771820431589,0.006576,0.068704,36656,65207,83041,116407
1771820431732,0.003896,0.068704,36661,65207,83050,116407
1771820431898,0.003896,0.068704,36666,65207,83048,116407
1771820432053,0.003896,0.055795,36672,65207,83051,116407
1771820432199,0.003896,0.055795,36662,65207,83049,116407
1771820432344,0.005241,0.055795,36655,65207,83050,116407
1771820432493,0.005241,0.055795,36662,65207,83056,116407
1771820432640,0.005241,0.051074,36665,65207,83057,116407
1771820432788,0.005241,0.051074,36666,65207,83055,116407
1771820432947,0.005161,0.051074,36668,65207,83057,116407
1771820433101,0.005161,0.051074,36669,65207,83053,116407
1771820433248,0.005161,0.054196,36673,65207,83058,116407
1771820433394,0.005161,0.054196,36660,65207,83056,116407
1771820433535,0.010657,0.054196,36659,65207,83053,116407
1771820433686,0.010657,0.054196,36660,65207,83057,116407
1771820433836,0.010657,0.034602,36647,65207,82968,116407
1771820433999,0.010657,0.034602,36661,65207,83061,116407
1771820434149,0.011421,0.034602,36656,65207,83058,116407
1771820434304,0.011421,0.034602,36661,65207,83057,116407
1771820434459,0.011421,0.091800,36657,65207,83051,116407
1771820434617,0.011421,0.091800,36649,65207,83042,116407
1771820434771,0.020454,0.091800,36642,65207,83041,116407
1771820434969,0.020454,0.026211,36641,65207,83040,116407
1771820435117,0.020454,0.026211,36646,65207,83041,116407
1771820435260,0.020454,0.026211,36644,65207,83033,116407
1771820435405,0.005180,0.026211,36642,65207,83040,116407
1771820435555,0.005180,0.058786,36641,65207,83029,116407
1771820435705,0.005180,0.058786,36648,65207,83032,116407
1771820435851,0.005180,0.058786,36649,65207,83029,116407
1771820436001,0.005178,0.058786,36652,65207,83030,116407
1771820436159,0.005178,0.019977,36637,65207,83025,116407
1771820436303,0.005178,0.019977,36639,65207,83029,116407
1771820436454,0.005178,0.019977,36641,65207,83031,116407
1771820436593,0.005387,0.019977,36642,65207,83031,116407
1771820436740,0.005387,0.036118,36643,65207,83030,116407
1771820436888,0.005387,0.036118,36645,65207,83030,116407
1771820437035,0.005387,0.036118,36640,65207,83025,116407
1771820437181,0.027149,0.036118,36647,65207,83029,116407
1771820437347,0.027149,0.050734,36631,65207,83019,116407
1771820437501,0.027149,0.050734,36624,65207,83014,116407
1771820437669,0.027149,0.050734,36611,65207,82931,116407
1771820437815,0.032557,0.050734,36624,65207,83014,116407
1771820437971,0.032557,0.029671,36623,65207,83013,116407
1771820438115,0.032557,0.029671,36623,65207,83010,116407
1771820438256,0.032557,0.029671,36627,65207,83009,116407
1771820438400,0.009940,0.029671,36622,65207,83014,116407
1771820438548,0.009940,0.034139,36623,65207,83014,116407
1771820438692,0.009940,0.034139,36625,65207,83013,116407
1771820438841,0.009940,0.034139,36599,65207,82901,116407
1771820439001,0.011606,0.034139,36628,65207,83012,116407
1771820439154,0.011606,0.015261,36625,65207,83011,116407
1771820439304,0.011606,0.015261,36619,65207,83011,116407
1771820439451,0.011606,0.015261,36624,65207,83009,116407
1771820439600,0.010312,0.015261,36633,65207,83009,116407
1771820439762,0.010312,0.025830,36627,65207,83008,116407
1771820439963,0.010312,0.025830,36617,65207,82968,116407
1771820440110,0.017086,0.025830,36617,65207,83001,116407
1771820440262,0.017086,0.026479,36627,65207,83005,116407
1771820440413,0.017086,0.026479,36618,65207,83000,116407
1771820440553,0.017086,0.026479,36618,65207,82967,116407
1771820440697,0.019928,0.026479,36621,65207,83008,116407
1771820440851,0.019928,0.073536,36619,65207,83012,116407
1771820441009,0.019928,0.073536,36623,65207,83014,116407
1771820441150,0.019928,0.073536,36616,65207,83010,116407
1771820441292,0.010603,0.073536,36614,65207,83011,116407
1771820441439,0.010603,0.056199,36606,65207,83008,116407
1771820441578,0.010603,0.056199,36601,65207,83006,116407
1771820441723,0.010603,0.056199,36585,65207,82991,116407
1771820441876,0.006510,0.056199,36589,65207,82992,116407
1771820442040,0.006510,0.069153,36578,65207,82946,116407
1771820442190,0.006510,0.069153,36590,65207,82991,116407
1771820442337,0.006510,0.069153,36596,65207,83002,116407
1771820442490,0.011614,0.069153,36590,65207,82961,116407
1771820442645,0.011614,0.074092,36597,65207,82990,116407
1771820442795,0.011614,0.074092,36604,65207,83000,116407
1771820442951,0.011614,0.074092,36592,65207,82995,116407
1771820443095,0.007723,0.074092,36598,65207,82994,116407
1771820443253,0.007723,0.052885,36600,65207,82996,116407
1771820443405,0.007723,0.052885,36592,65207,82994,116407
1771820443551,0.007723,0.052885,36585,65207,82946,116407
1771820443699,0.008979,0.052885,36598,65207,82993,116407
1771820443863,0.008979,0.055672,36570,65207,82891,116407
1771820444032,0.008979,0.055672,36562,65207,82877,116407
1771820444191,0.008979,0.055672,36593,65207,82994,116407
1771820444337,0.015941,0.055672,36573,65207,82977,116407
1771820444501,0.015941,0.057308,36613,65207,83003,116407
1771820444654,0.015941,0.057308,36612,65207,83001,116407
1771820444807,0.015941,0.057308,36611,65207,83004,116407
1771820444973,0.011211,0.057308,36545,65207,82901,116407
1771820445126,0.011211,0.059683,36596,65207,82992,116407
1771820445268,0.011211,0.059683,36603,65207,82997,116407
1771820445420,0.011211,0.059683,36593,65207,82991,116407
1771820445563,0.013067,0.059683,36600,65207,82993,116407
1771820445725,0.013067,0.048518,36608,65207,82996,116407
1771820445883,0.013067,0.048518,36601,65207,82999,116407
1771820446038,0.013067,0.048518,36599,65207,82991,116407
1771820446186,0.008864,0.048518,36604,65207,82998,116407
1771820446341,0.008864,0.050764,36591,65207,82992,116407
1771820446493,0.008864,0.050764,36597,65207,82994,116407
1771820446643,0.008864,0.050764,36605,65207,82999,116407
1771820446791,0.011517,0.050764,36610,65207,83000,116407
1771820446971,0.011517,0.043165,36601,65207,82996,116407
1771820447120,0.011517,0.043165,36592,65207,82965,116407
1771820447267,0.011517,0.043165,36596,65207,82976,116407
